reference_key,product_id,category_id,product_name,barcode,description,is_active,source_item_code
catalogue:165,165,2,Beef Ribeye,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:165
catalogue:166,166,2,Beef Sirloin,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:166
catalogue:167,167,2,Beef Tenderloin,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:167
catalogue:168,168,2,Beef Brisket,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:168
catalogue:169,169,2,Beef Shank,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:169
catalogue:170,170,2,Beef Chuck,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:170
catalogue:171,171,2,Beef Short Ribs,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:171
catalogue:172,172,2,Beef Flank,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:172
catalogue:173,173,2,Beef Oxtail,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:173
catalogue:174,174,2,Minced Beef,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:174
catalogue:175,175,2,Beef Tendon,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:175
catalogue:176,176,2,Beef Tripe,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:176
catalogue:177,177,2,Beef Liver,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:177
catalogue:178,178,2,Beef Tongue,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:178
catalogue:179,179,2,Diced Mutton,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:179
catalogue:180,180,2,Goat Meat,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:180
catalogue:181,181,2,Lamb Chop,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:181
catalogue:182,182,2,Lamb Shank,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:182
catalogue:183,183,2,Lamb Shoulder,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:183
catalogue:184,184,2,Lamb Leg,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:184
catalogue:185,185,2,Lamb Ribs,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:185
catalogue:186,186,2,Minced Lamb,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:186
catalogue:187,187,2,Pork Belly,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:187
catalogue:188,188,2,Pork Loin,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:188
catalogue:189,189,2,Pork Shoulder,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:189
catalogue:190,190,2,Pork Collar,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:190
catalogue:191,191,2,Pork Ribs,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:191
catalogue:192,192,2,Pork Chops,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:192
catalogue:193,193,2,Minced Pork,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:193
catalogue:194,194,2,Pork Trotters,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:194
catalogue:195,195,2,Pork Liver,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:195
catalogue:196,196,2,Pork Intestines,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:196
catalogue:197,197,2,Pork Tenderloin,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:197
catalogue:198,198,2,Pork Belly Slices,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:198
catalogue:199,199,2,Beef Striploin,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:199
catalogue:200,200,2,Beef Knuckle,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:200
