label,category_id,source_locator
Frozen vegetable rosti,8,en:frozen-vegetable-rosti
Frozen Herbs and Spices,8,en:frozen-herbs-and-spices
Frozen ready-made meals,8,en:frozen-ready-made-meals
Baby foods,11,en:baby-foods
Baby milks,11,en:baby-milks
From 3 years,11,en:from-3-years
From 4 months,11,en:from-4-months
From 6 months,11,en:from-6-months
From 8 months,11,en:from-8-months
From 10 months,11,en:from-10-months
From 15 months,11,en:from-15-months
From 18 months,11,en:from-18-months
From 24 months,11,en:from-24-months
Cereals for babies,11,en:cereals-for-babies
From 12 months old,11,en:from-12-months-old
Kefir for children,11,en:kefir-for-children
Main meals for babies,11,en:main-meals-for-babies
Evening meals for babies,11,en:evening-meals-for-babies
Snacks and desserts for babies,11,en:snacks-and-desserts-for-babies
Baby dishes,11,en:baby-dishes
Baby drinks,11,en:baby-drinks
Growth milks,11,en:growth-milks
Infant formulas,11,en:infant-formulas
Anti-reflux milk,11,en:anti-reflux-milk
Soups for babies,11,en:soups-for-babies
Baby fruit desserts,11,en:baby-fruit-desserts
Biscuits for babies,11,en:biscuits-for-babies
Hypoallergenic milks,11,en:hypoallergenic-milks
Fish menus for babies,11,en:fish-menus-for-babies
Meat menus for babies,11,en:meat-menus-for-babies
Dairy dessert for baby,11,en:dairy-dessert-for-baby
Baby food jar with banana,11,en:baby-food-jar-with-banana
Milks for premature babies,11,en:milks-for-premature-babies
Vegetables menus for babies,11,en:vegetables-menus-for-babies
Baby food jar without banana,11,en:baby-food-jar-without-banana
Cocoa powder for baby beverage,11,en:cocoa-powder-for-baby-beverage
Pre-food,11,en:pre-food
Baby milks in powder,11,en:baby-milks-in-powder
Specialised baby drinks,11,en:specialised-baby-drinks
Ready to feed baby milks,11,en:ready-to-feed-baby-milks
Second age baby milk powder,11,en:second-age-baby-milk-powder
Milky cereal-based beverages,11,en:milky-cereal-based-beverages
Plain dairy dessert for baby,11,en:plain-dairy-dessert-for-baby
Plant-based beverages for babies,11,en:plant-based-beverages-for-babies
First age baby milk powder,11,en:first-age-baby-milk-powder
Fruit-based beverages for babies,11,en:fruit-based-beverages-for-babies
Breads,12,en:breads
Pastries,12,en:pastries
Biscuits and cakes,12,en:biscuits-and-cakes
Babas,12,en:babas
Cakes,12,en:cakes
Mochi,12,en:mochi
Rusks,12,en:rusks
Kadaif,12,en:kadaif
Scones,12,en:scones
Toasts,12,en:toasts
Baklava,12,en:baklava
Canelés,12,en:caneles
Churros,12,en:churros
Eclairs,12,en:eclairs
Waffles,12,en:waffles
Biscuits,12,en:biscuits
Brookies,12,en:brookies
Croutons,12,en:croutons
Crumbles,12,en:crumbles
Macarons,12,en:macarons
Makroudh,12,en:makroudh
Strudels,12,en:strudels
Tiramisu,12,en:tiramisu
Ciabattas,12,en:ciabattas
Fraisiers,12,en:fraisiers
Meringues,12,en:meringues
Rum balls,12,en:rum-balls
Bran bread,12,en:bran-bread
Charlottes,12,en:charlottes
Cream puff,12,en:cream-puff
Flan tarts,12,en:flan-tarts
Flatbreads,12,en:flatbreads
Lo mai chi,12,en:lo-mai-chi
Oat breads,12,en:oat-breads
Rye breads,12,en:rye-breads
Bread rolls,12,en:bread-rolls
Breadsticks,12,en:breadsticks
Crispbreads,12,en:crispbreads
Jaffa cakes,12,en:jaffa-cakes
Opera cakes,12,en:opera-cakes
Paris-Brest,12,en:paris-brest
Bread crumbs,12,en:bread-crumbs
Bread loaves,12,en:bread-loaves
Breton cakes,12,en:breton-cakes
Dried breads,12,en:dried-breads
Framboisiers,12,en:framboisiers
French toast,12,en:french-toast
Gazelle horn,12,en:gazelle-horn
Gingerbreads,12,en:gingerbreads
Kouign-amann,12,en:kouign-amann
Sauces,13,en:sauces
Spreads,13,en:spreads
Condiments,13,en:condiments
Nut butters,13,en:nut-butters
Canned foods,13,en:canned-foods
Legume butters,13,en:legume-butters
Vegetable oils,13,en:vegetable-oils
Dips,13,en:dips
Roux,13,en:roux
Gravy,13,en:gravy
Mirin,13,en:mirin
Salts,13,en:salts
Aiolis,13,en:aiolis
Capers,13,en:capers
Pestos,13,en:pestos
Gomasio,13,en:gomasio
Mustards,13,en:mustards
Nut oils,13,en:nut-oils
Sofritos,13,en:sofritos
Vinegars,13,en:vinegars
Hemp oils,13,en:hemp-oils
Marinades,13,en:marinades
Maruboshi,13,en:maruboshi
Palm oils,13,en:palm-oils
Tapenades,13,en:tapenades
Tzatzikis,13,en:tzatzikis
Argan oils,13,en:argan-oils
Frying oil,13,en:frying-oil
Hot sauces,13,en:hot-sauces
Olive oils,13,en:olive-oils
Soy sauces,13,en:soy-sauces
Cereal oils,13,en:cereal-oils
Katsuobushi,13,en:katsuobushi
Legume oils,13,en:legume-oils
Mayonnaises,13,en:mayonnaises
Meal sauces,13,en:meal-sauces
Mint sauces,13,en:mint-sauces
Mojo sauces,13,en:mojo-sauces
Peanut stew,13,en:peanut-stew
Piccalillis,13,en:piccalillis
Pita sauces,13,en:pita-sauces
Taco sauces,13,en:taco-sauces
Tenderisers,13,en:tenderisers
Warm sauces,13,en:warm-sauces
Wine sauces,13,en:wine-sauces
Brown sauces,13,en:brown-sauces
Canned meals,13,en:canned-meals
